2023山上芭樂節熱鬧登場 黃偉哲邀品嚐當季芭樂,112.10.28,臺南市政府
部落好柿發生 新竹縣五峰鄉甜柿節活動開跑,112.10.26,新竹縣政府
Tree to Bar 國產可可好滋味,112.10.25,高雄區農業改良場
以原生種木虌果為題 臺東農改場於大武鄉大武國小辦理食農課程,112.10.24,臺東區農業改良場
甘藷文化季開跑 黃偉哲邀來新化吃美食逎市集,112.10.22,臺南市政府
植物奶成分內容大不同,112.10.19,行政院食品安全辦公室
世界糧食日 餐盤上落實SDGs 綠色友善餐廳濃縮高雄風土打造在地食材餐會,112.10.18,高雄市政府
食農教育落地生根 臺東農改場於成功鎮三民國小辦理小米課程,112.10.18,農業部臺東區農業改良場
期間限定野餐秘境 萬眾期待「國產雜糧野餐日」來了,112.10.17,農業部農糧署
響應世界糧食日 新北鼓勵購買格外品與即期品,112.10.16,新北市政府
柳營牛奶節荷蘭村登場人潮滿滿 鮮乳產品展售獲好評,112.10.15,臺南市政府
支持在地特色小農 花農直賣所市集活動10月15日玉里登場,112.10.14,花蓮縣政府
巨無霸豆芽菜—落花生芽菜孵育的技巧,112.10.13,臺南區農業改良場
穀 for U 食客吃起來 拍照上傳穀糧餐點抽大獎,112.10.13,衛生福利部國民健康署
您今天膳食纖維吃夠了嗎? 選國產、多樣吃、餐餐有全榖,112.10.12,衛生福利部
食農教育講座「永續轉型 從看見動物開始」,112.10.08,獸醫研究所
臺灣茶業科技與風味特色館在南投茶博 展現創新科技落實產業成果,112.10.06,茶及飲料作物改良場
有關媒體報導，食藥署大開後門讓美豬合法洗產地，為假訊息，請民眾避免轉傳。,112.09.25,衛生福利部食品藥物管理署
結合食農教育推廣 臺東農改場於太麻里鄉大溪國小辦理小白菜課程,112.09.23,農業部臺東區農業改良場
什麼!原來挑選玉米筍還要注意這件事,112.09.22,農業部臺南區農業改良場
農村水保署臺北分署攜手味全龍合作農村主題趴 邀球迷一起「品味農藏，一擊棒」,112.09.20,農業部農村發展及水土保持署
從魔鬼變家人 林業保育署攜手賽夏族 共同發表綠色森林品牌識別形象,112.09.20,農業部林業及自然保育署
攜手學童紮根食魚教育 漁鄉送暖獻愛基隆漁村,112.09.19,農業部漁業署
防範非洲豬瘟，提醒國人中秋節不要落入月餅「餡」阱,112.09.18,農業部動植物防疫檢疫署
食農教育講座「永續轉型 從看見動物開始」,112.09.14,農業部獸醫研究所
國產雜糧推廣成果豐碩 多元通路好評上架,112.09.14,農業部農糧署
臺灣文旦清爽好滋味風靡海外 秋季限定好物選購正當時,112.09.14,農業部農糧署
史上最強「臺灣米標章」餐飲聯盟大進擊帶您輕鬆品味最正港的臺灣米！,112.09.13,農業部農糧署
鳳梨旺事來~亮點加工加值技術，助攻新市場,112.09.13,農業部農業試驗所
肥美秋蟹食安心,112.09.07,行政院食品安全辦公室
食米教育深入家庭 15條親子共學行程等您來票選,112.09.07,農業部農糧署
即日起!全民常備農糧美味 各大通路同步開賣!,112.09.07,農業部農糧署
國教署辦理112年度「第二屆健康飲食小主播」活動，快來報名!,112.09.06,教育部國民及學前教育署
臺東農改場辦理「找回原力部落行動學堂」 協助部落產業加值，展現原鄉特色潛力,112.09.01,農業部臺東區農業改良場
2023國產、安全、優質有機紅茶出爐　限量推薦給消費者--第四屆全國有機茶分類分級TAGs評鑑紅茶組(大葉種及小葉種)成績公布,112.08.31,農業部茶及飲料作物改良場
